skill_key,canonical_skill,skill_category,sector_key,aliases
RETAIL_Fulfillment,Order Fulfillment,Operations,RETAIL,order fulfillment|packing|shipping|fulfillment
FIN_FIN_MODEL,Financial Modeling,Finance,FIN,financial modeling|excel modeling|forecasting|financial projection
FIN_RISK_ANAL,Risk Analysis,Finance,FIN,risk analysis|risk assessment|risk management
FIN_AUDIT,Auditing,Finance,FIN,auditing|audit|financial audit|internal audit
FIN_GAAP,GAAP,Finance,FIN,gaap|generally accepted accounting principles|accounting standards
FIN_IFRS,IFRS,Finance,FIN,ifrs|international financial reporting standards
FIN_TAX_COMP,Tax Compliance,Finance,FIN,tax compliance|tax preparation|corporate tax|vat
FIN_BOOKKEEPING,Bookkeeping,Finance,FIN,bookkeeping|ledger maintenance|quickbooks
FIN_AP,Accounts Payable,Finance,FIN,ap|accounts payable|invoicing
FIN_AR,Accounts Receivable,Finance,FIN,ar|accounts receivable|billing|collections
FIN_FORECASTING,Financial Forecasting,Finance,FIN,financial forecasting|budgeting|financial planning & analysis|fp&a
FIN_TREASURY,Treasury Management,Finance,FIN,treasury|cash management|liquidity management
FIN_VALUATION,Valuation,Finance,FIN,valuation|business valuation|dcf|comparable analysis
FIN_SOX,SOX Compliance,Finance,FIN,sox|sarbanes-oxley|internal controls
MFG_PROD_SCHED,Production Scheduling,Operations,MFG,production scheduling|production planning|manufacturing schedule
MFG_QA,Quality Assurance,Operations,MFG,qa|quality assurance|quality control|qc
MFG_SIX_SIGMA,Six Sigma,Operations,MFG,six sigma|lean six sigma|dmaic|black belt|green belt
MFG_LEAN,Lean Manufacturing,Operations,MFG,lean|lean manufacturing|5s|kaizen|continuous improvement
MFG_CAD,CAD,Technical,MFG,cad|computer-aided design|solidworks|autocad
MFG_PLC,PLC Programming,Technical,MFG,plc|plc programming|allen bradley|siemens plc
MFG_CNC,CNC Machining,Technical,MFG,cnc|cnc machining|cnc programming|lathe|mill
MFG_SCADA,SCADA,Technical,MFG,scada|hmi|supervisory control and data acquisition
MFG_SUPPLY_CHAIN,Supply Chain,Operations,MFG,supply chain|logistics|procurement|sourcing
MFG_PREV_MAINT,Preventive Maintenance,Operations,MFG,preventive maintenance|pm|machine maintenance
MFG_OSHA,OSHA Compliance,Operations,MFG,osha|osha compliance|safety standards|industrial safety
MFG_ISO9001,ISO 9001,Operations,MFG,iso 9001|iso standards|quality management system|qms
EDU_CURRICULUM,Curriculum Development,Teaching,EDU,curriculum development|curriculum design|lesson development
EDU_LESSON_PLAN,Lesson Planning,Teaching,EDU,lesson planning|lesson design|instructional planning
EDU_CLASS_MGT,Classroom Management,Teaching,EDU,classroom management|classroom discipline
EDU_DIFF_INSTR,Differentiated Instruction,Teaching,EDU,differentiated instruction|personalized learning
EDU_SPECIAL_ED,Special Education,Teaching,EDU,special education|sped|iep|individualized education program
EDU_ED_TECH,Educational Technology,Teaching,EDU,educational technology|edtech|smartboards
EDU_STUDENT_ASSESS,Student Assessment,Teaching,EDU,student assessment|grading|formative assessment|summative assessment
EDU_LMS,E-learning LMS,Technical,EDU,lms|learning management system|canvas|moodle|blackboard
EDU_ADVISING,Student Advising,Teaching,EDU,student advising|academic advising|student mentorship
EDU_LECTURE,Lecture Delivery,Teaching,EDU,lecture delivery|teaching|classroom instruction
GOV_PUBLIC_POLICY,Public Policy,Administration,GOV,public policy|policy development|public administration
GOV_GRANT_WRITING,Grant Writing,Administration,GOV,grant writing|grant proposals|grant administration
GOV_PROCUREMENT,Government Procurement,Administration,GOV,procurement|government contracting|public purchasing
GOV_CONTRACT_MGT,Contract Management,Administration,GOV,contract management|contract administration
GOV_PUBLIC_REL,Public Relations,Administration,GOV,public relations|pr|media relations|public communication
GOV_REG_COMP,Regulatory Compliance,Administration,GOV,regulatory compliance|government regulations|compliance oversight
GOV_POLICY_ANAL,Policy Analysis,Administration,GOV,policy analysis|policy evaluation|policy research
GOV_CIVIC_ENG,Civic Engagement,Administration,GOV,civic engagement|community outreach|public participation
SOFT_COMM,Communication,Soft Skill,,communication|verbal communication|written communication|presentation skills
SOFT_LEAD,Leadership,Soft Skill,,leadership|team leadership|management|people management
SOFT_PROB_SOLVE,Problem Solving,Soft Skill,,problem solving|analytical thinking|critical thinking|troubleshooting
SOFT_TEAMWORK,Teamwork,Soft Skill,,teamwork|collaboration|cooperation|team player
SOFT_TIME_MGT,Time Management,Soft Skill,,time management|prioritization|organization|scheduling
SOFT_CONFLICT_RES,Conflict Resolution,Soft Skill,,conflict resolution|mediation|conflict management
SOFT_ADAPT,Adaptability,Soft Skill,,adaptability|flexibility|resilience|learning agility
SOFT_CRIT_THINK,Critical Thinking,Soft Skill,,critical thinking|analytical reasoning|decision making
SOFT_EQ,Emotional Intelligence,Soft Skill,,emotional intelligence|eq|empathy|self-awareness
SOFT_NEGOTIATION,Negotiation,Soft Skill,,negotiation|persuasion|bargaining
SOFT_PROJECT_MGT,Project Management,Soft Skill,,project management|pm|pmp|project coordination
SOFT_AGILE_SCRUM,Agile/Scrum,Soft Skill,,agile|scrum|kanban|sprint planning|daily standup
